id_pedido,id_entrega,fecha_pedido,dia_semana_pedido,fecha_entrega,dia_semana_entrega,id_cliente,tipo_cliente,nombre_cliente,id_producto,producto,formato_envase,cantidad,precio_unitario,descuento,precio_total,promocion,metodo_pago,ruta,id_conductor,estado_entrega,provincia_envio,distrito_envio,coordenadas_envio,humedad_percent,viento_kmh,precipitacion_mm,gasto_publicidad,inflacion_mensual,media_movil_7d,media_movil_30d
PED000011,ENT-00000011,2024-08-05,Lunes,2024-08-08,Jueves,PJ_962809,Restaurante,Restaurante Don Manuel Paucar,P008,Agua San Luis 1L,PET,30,2.83,0.0,84.95,descuento por volumen,contraentrega,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.442988, -76.377136)",50.6,2.5,0.1,1627.72,0.336,95.48,94.82
PED000012,ENT-00000012,2024-08-05,Lunes,2024-08-08,Jueves,PJ_962809,Restaurante,Restaurante Don Manuel Paucar,P003,Sprite 2L,PET,30,8.51,0.05,242.63,descuento por volumen,tarjeta débito,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.44135, -76.358205)",55.5,15.6,4.1,2166.69,0.365,73.13,110.0
PED000013,ENT-00000013,2024-08-05,Lunes,2024-08-08,Jueves,PJ_962809,Restaurante,Restaurante Don Manuel Paucar,P010,Fanta 2L,PET,61,9.11,0.0,555.76,promo verano,Yape,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.454197, -76.369942)",67.4,8.5,1.9,2496.32,0.361,96.85,94.1
PED000014,ENT-00000014,2024-08-05,Lunes,2024-08-08,Jueves,PJ_931624,Bodega,Bodega San Martín Santa Ana de Tusi,P005,Agua San Luis 500ml,PET,40,1.83,0.0,73.11,2x1,Plin,Ruta_16,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.51891, -76.015047)",53.4,27.9,1.7,2593.17,0.293,107.58,112.6
PED000015,ENT-00000015,2024-08-05,Lunes,2024-08-08,Jueves,PJ_931624,Bodega,Bodega San Martín Santa Ana de Tusi,P007,Inca Kola 2L,PET,30,10.49,0.0,314.71,2x1,tarjeta débito,Ruta_16,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.527476, -76.018312)",79.0,13.2,0.8,2798.65,0.296,113.52,78.7
PED000016,ENT-00000016,2024-08-05,Lunes,2024-08-08,Jueves,PJ_931624,Bodega,Bodega San Martín Santa Ana de Tusi,P010,Fanta 2L,PET,20,9.51,0.0,190.22,descuento temporada,transferencia,Ruta_16,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.51652, -76.015251)",91.5,9.8,0.0,3334.7,0.179,143.02,106.88
PED000017,ENT-00000017,2024-08-05,Lunes,2024-08-08,Jueves,PJ_931624,Bodega,Bodega San Martín Santa Ana de Tusi,P004,Fanta 500ml,vidrio,20,2.22,0.0,44.45,sin_promocion,transferencia,Ruta_16,CON006,retrasado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.523272, -76.024397)",88.2,23.2,0.2,1349.08,0.414,120.84,112.14
PED000018,ENT-00000018,2024-08-05,Lunes,2024-08-08,Jueves,PJ_611192,Bodega,Bodega La Economía Paucar,P006,Coca-Cola 2L,PET,10,8.74,0.0,87.38,regalo,efectivo,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.439376, -76.366786)",76.2,13.8,3.5,2516.77,0.391,103.3,91.83
PED000019,ENT-00000019,2024-08-05,Lunes,2024-08-08,Jueves,PJ_704938,Bodega,Bodega La Economía Ticlacayán,P003,Sprite 2L,PET,30,8.36,0.25,188.03,descuento por volumen,Yape,Ruta_28,CON008,entregado,Pasco,Ticlacayán,"(-10.491703, -76.31989)",70.3,9.6,1.8,1127.41,0.371,53.78,101.13
PED000020,ENT-00000020,2024-08-05,Lunes,2024-08-08,Jueves,PJ_890815,Bodega,Bodega San José Huachón,P009,Sprite 500ml,vidrio,40,2.5,0.0,100.19,sin_promocion,Plin,Ruta_10,CON010,entregado,Pasco,Huachón,"(-10.651161, -76.325753)",82.9,16.0,2.0,2211.69,0.328,82.04,81.14
PED000021,ENT-00000021,2024-08-05,Lunes,2024-08-08,Jueves,PJ_890815,Bodega,Bodega San José Huachón,P005,Agua San Luis 500ml,PET,30,1.86,0.0,55.92,regalo,efectivo,Ruta_10,CON010,entregado,Pasco,Huachón,"(-10.700532, -76.323593)",45.1,15.9,5.1,2886.0,0.256,97.1,108.72
PED000022,ENT-00000022,2024-08-05,Lunes,2024-08-08,Jueves,PJ_890815,Bodega,Bodega San José Huachón,P008,Agua San Luis 1L,PET,20,2.81,0.15,47.82,descuento temporada,Plin,Ruta_10,CON010,retrasado,Pasco,Huachón,"(-10.68209, -76.297937)",55.8,10.0,0.2,3720.15,0.171,99.12,99.3
PED000023,ENT-00000023,2024-08-05,Lunes,2024-08-08,Jueves,PJ_890815,Bodega,Bodega San José Huachón,P006,Coca-Cola 2L,PET,40,8.82,0.0,352.88,combo familiar,Yape,Ruta_10,CON010,entregado,Pasco,Huachón,"(-10.708149, -76.332491)",78.3,6.3,2.0,1623.92,0.443,107.66,104.51
PED000024,ENT-00000024,2024-08-05,Lunes,2024-08-08,Jueves,PJ_803268,Restaurante,Restaurante Don Manuel San Francisco de Asís de Yarusyacán,P002,Inca Kola 500ml,vidrio,20,2.93,0.0,58.56,combo familiar,tarjeta débito,Ruta_13,SIN_CONDUCTOR,entregado,Pasco,San Francisco de Asís de Yarusyacán,"(-10.805437, -76.049109)",60.3,20.8,0.1,2558.77,0.284,92.46,105.33
PED000025,ENT-00000025,2024-08-05,Lunes,2024-08-08,Jueves,PJ_842780,Bodega,Bodega Santa Rosa Yanahuanca 1,P006,Coca-Cola 2L,PET,20,9.28,0.0,185.56,descuento por volumen,tarjeta débito,Ruta_27,CON007,entregado,Daniel Alcides Carrión,Yanahuanca,"(-10.48881, -76.390325)",57.1,8.2,0.4,2544.78,0.457,95.27,114.69
PED000026,ENT-00000026,2024-08-05,Lunes,2024-08-08,Jueves,PJ_842780,Bodega,Bodega Santa Rosa Yanahuanca 1,P002,Inca Kola 500ml,vidrio,20,2.95,0.0,58.98,promo verano,tarjeta crédito,Ruta_27,CON007,retrasado,Daniel Alcides Carrión,Yanahuanca,"(-10.490089, -76.385158)",76.6,2.0,0.4,1495.89,0.373,123.18,87.47
PED000027,ENT-00000027,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_654399,Bodega,Bodega El Progreso Oxapampa 3,P006,Coca-Cola 2L,PET,20,10.25,0.05,194.75,ninguna,contraentrega,Ruta_18,CON008,entregado,Oxapampa,Oxapampa,"(-10.204227, -75.867333)",56.6,15.6,0.2,1114.53,0.395,90.7,103.31
PED000028,ENT-00000028,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_654399,Bodega,Bodega El Progreso Oxapampa 3,P003,Sprite 2L,PET,10,9.94,0.0,99.43,regalo,Plin,Ruta_18,CON008,entregado,Oxapampa,Oxapampa,"(-10.208854, -75.863971)",50.1,14.5,0.9,2826.34,0.364,97.2,80.37
PED000029,ENT-00000029,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_654399,Bodega,Bodega El Progreso Oxapampa 3,P008,Agua San Luis 1L,PET,40,2.5,0.05,95.0,sin_promocion,contraentrega,Ruta_18,CON008,entregado,Oxapampa,Oxapampa,"(-10.196132, -75.856759)",49.3,17.1,0.9,3492.34,0.416,84.23,136.37
PED000030,ENT-00000030,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_654399,Bodega,Bodega El Progreso Oxapampa 3,P001,Coca-Cola 500ml,PET,20,2.39,0.25,35.91,sin_promocion,tarjeta crédito,Ruta_18,CON008,entregado,Oxapampa,Oxapampa,"(-10.199005, -75.859812)",41.2,9.6,4.2,2674.48,0.305,95.43,92.11
PED000031,ENT-00000031,2024-08-05,Lunes,2024-08-08,Jueves,PJ_316094,Bodega,Bodega La Economía Santa Ana de Tusi,P008,Agua San Luis 1L,PET,20,2.6,0.1,46.83,regalo,transferencia,Ruta_16,CON006,retrasado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.512356, -76.023543)",62.1,17.8,3.4,2149.42,0.337,94.58,126.84
PED000032,ENT-00000032,2024-08-05,Lunes,2024-08-08,Jueves,PJ_316094,Bodega,Bodega La Economía Santa Ana de Tusi,P004,Fanta 500ml,vidrio,10,2.17,0.0,21.72,combo familiar,transferencia,RUTA_EXTRA,CON006,entregado,Daniel Alcides Carrión,Santa Ana de Tusi,"(-10.520889, -76.025337)",69.9,12.3,10.4,2926.93,0.4,122.12,119.96
PED000034,ENT-00000034,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_566576,Restaurante,Restaurante La Cabaña Constitución,P002,Inca Kola 500ml,vidrio,61,2.96,0.05,171.64,regalo,contraentrega,Ruta_03,CON003,entregado,Oxapampa,Constitución,"(-10.568185, -76.388482)",37.2,0.0,3.1,2998.65,0.405,116.7,82.06
PED000035,ENT-00000035,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_566576,Restaurante,Restaurante La Cabaña Constitución,P009,Sprite 500ml,vidrio,61,2.29,0.0,139.77,regalo,transferencia,Ruta_03,CON003,retrasado,Oxapampa,Constitución,"(-10.582324, -76.399223)",73.0,0.0,1.0,2662.19,0.331,108.54,86.69
PED000036,ENT-00000036,2024-08-05,Lunes,2024-08-08,Jueves,PJ_250635,Bodega,Bodega El Triunfo Paucar,P007,Inca Kola 2L,PET,20,11.18,0.05,212.5,promo verano,transferencia,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.472287, -76.368481)",73.3,5.2,2.2,4059.23,0.393,93.4,143.47
PED000037,ENT-00000037,2024-08-05,Lunes,2024-08-08,Jueves,PJ_250635,Bodega,Bodega El Triunfo Paucar,P006,Coca-Cola 2L,PET,40,9.82,0.0,392.85,promo verano,Plin,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.437332, -76.386868)",44.6,5.5,3.0,3232.14,0.326,82.19,99.22
PED000038,ENT-00000038,2024-08-05,Lunes,2024-08-08,Jueves,PJ_250635,Bodega,Bodega El Triunfo Paucar,P003,Sprite 2L,PET,30,7.94,0.1,214.36,promo verano,Yape,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.452977, -76.382108)",63.9,18.5,5.0,3958.96,0.347,86.48,81.49
PED000039,ENT-00000039,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_569061,Bodega,Bodega Santa Rosa Chontabamba,P003,Sprite 2L,PET,20,8.16,0.0,163.25,sin_promocion,contraentrega,Ruta_23,CON003,entregado,Oxapampa,Chontabamba,"(-10.203445, -75.824777)",71.3,4.8,0.7,4417.37,0.446,94.18,89.52
PED000040,ENT-00000040,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_569061,Bodega,Bodega Santa Rosa Chontabamba,P010,Fanta 2L,PET,40,8.74,0.0,349.42,envío gratis,contraentrega,Ruta_23,CON003,entregado,Oxapampa,Chontabamba,"(-10.167776, -75.856127)",71.1,14.4,2.5,1830.91,0.274,78.89,98.3
PED000041,ENT-00000041,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_569061,Bodega,Bodega Santa Rosa Chontabamba,P006,Coca-Cola 2L,PET,10,8.52,0.05,80.91,sin_promocion,transferencia,Ruta_23,CON003,entregado,Oxapampa,Chontabamba,"(-10.174594, -75.805306)",66.6,10.7,1.7,2005.56,0.544,95.32,90.43
PED000042,ENT-00000042,2024-08-05,Lunes,2024-08-08,Jueves,PJ_979929,Restaurante,Restaurante La Terraza Huariaca,P007,Inca Kola 2L,PET,30,10.28,0.0,308.37,sin_promocion,tarjeta débito,Ruta_23,CON003,entregado,Pasco,Huariaca,"(-10.690589, -76.187662)",74.8,16.2,1.3,713.86,0.451,131.23,92.31
PED000043,ENT-00000043,2024-08-05,Lunes,2024-08-08,Jueves,PJ_294640,Bodega,Bodega La Esperanza Simón Bolívar 1,P009,Sprite 500ml,vidrio,20,2.18,0.2,34.83,descuento temporada,tarjeta débito,Ruta_09,CON009,retrasado,Pasco,Simón Bolívar,"(-10.406909, -76.028521)",81.7,14.2,1.3,1961.18,0.41,94.62,100.08
PED000044,ENT-00000044,2024-08-05,Lunes,2024-08-08,Jueves,PJ_294640,Bodega,Bodega La Esperanza Simón Bolívar 1,P008,Agua San Luis 1L,PET,20,2.46,0.25,36.9,promo verano,tarjeta crédito,Ruta_09,CON009,entregado,Pasco,Simón Bolívar,"(-10.39475, -76.027865)",68.8,6.8,0.4,2049.0,0.344,117.91,96.51
PED000045,ENT-00000045,2024-08-05,Lunes,2024-08-08,Jueves,PJ_712634,Kiosko,Kiosko Luz Goyllarisquizga,P005,Agua San Luis 500ml,PET,10,2.06,0.0,20.61,promo verano,transferencia,Ruta_09,CON009,retrasado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.577845, -76.06349)",61.5,3.0,6.8,3039.57,0.449,120.1,120.15
PED000046,ENT-00000046,2024-08-05,Lunes,2024-08-08,Jueves,PJ_712634,Kiosko,Kiosko Luz Goyllarisquizga,P006,Coca-Cola 2L,PET,5,8.4,0.0,41.98,descuento temporada,transferencia,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.576136, -76.069672)",70.3,0.0,0.1,2307.61,0.395,81.04,122.45
PED000047,ENT-00000047,2024-08-05,Lunes,2024-08-08,Jueves,PJ_712634,Kiosko,Kiosko Luz Goyllarisquizga,P008,Agua San Luis 1L,PET,10,2.77,0.05,26.31,2x1,contraentrega,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.578255, -76.07264)",77.4,11.1,2.4,3366.54,0.433,122.72,68.09
PED000048,ENT-00000048,2024-08-05,Lunes,2024-08-07,Miércoles,PN_536809,Persona Natural,Nieves Arribas-Reguera,P002,Inca Kola 500ml,vidrio,1,2.74,0.0,2.74,promo verano,Yape,Ruta_01,CON001,entregado,Oxapampa,Huancabamba,"(-10.663823, -76.125221)",78.5,18.3,2.2,4702.634199999999,0.431,117.91,120.27
PED000049,ENT-00000049,2024-08-05,Lunes,2024-08-08,Jueves,PN_828108,Persona Natural,Ligia Fuertes Andrés,P004,Fanta 500ml,vidrio,1,2.7,0.0,2.7,2x1,transferencia,Ruta_01,CON001,entregado,Oxapampa,Huancabamba,"(-10.684813, -76.101171)",73.0,10.1,5.0,2578.03,0.342,118.27,100.69
PED000050,ENT-00000050,2024-08-05,Lunes,2024-08-08,Jueves,PN_828108,Persona Natural,Ligia Fuertes Andrés,P005,Agua San Luis 500ml,PET,10,1.89,0.2,15.09,descuento temporada,tarjeta crédito,Ruta_01,CON001,entregado,Oxapampa,Huancabamba,"(-10.737844, -76.183573)",73.7,17.7,2.7,2947.79,0.265,106.39,109.57
PED000051,ENT-00000051,2024-08-05,Lunes,2024-08-08,Jueves,PJ_859975,Bodega,Bodega El Triunfo Yanacancha 1,P007,Inca Kola 2L,PET,10,11.27,0.0,112.69,2x1,efectivo,Ruta_16,CON006,entregado,Pasco,Yanacancha,"(-10.627483, -76.326561)",72.0,13.1,1.4,2119.51,0.392,44.42,114.55
PED000052,ENT-00000052,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_568294,Bodega,Bodega El Triunfo Goyllarisquizga,P008,Agua San Luis 1L,PET,40,2.82,0.05,107.21,descuento por volumen,contraentrega,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.578776, -76.067787)",43.4,22.2,4.7,1960.98,0.235,95.63,103.7
PED000053,ENT-00000053,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_568294,Bodega,Bodega El Triunfo Goyllarisquizga,P009,Sprite 500ml,vidrio,10,2.57,0.05,24.38,descuento temporada,Yape,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.586836, -76.072167)",75.5,12.1,2.4,2683.81,0.389,120.87,98.72
PED000054,ENT-00000054,2024-08-05,Lunes,2024-08-07,Miércoles,PN_560551,Persona Natural,Atilio Jesús Solano Ibañez,P007,Inca Kola 2L,PET,5,10.09,0.05,47.91,regalo,tarjeta crédito,Ruta_12,CON002,entregado,Pasco,Paucartambo,"(-10.731912, -76.367115)",0.0,7.8,1.2,2790.29,0.393,130.79,106.43
PED000055,ENT-00000055,2024-08-05,Lunes,2024-08-07,Miércoles,PN_560551,Persona Natural,Atilio Jesús Solano Ibañez,P010,Fanta 2L,PET,5,9.33,0.0,46.67,sin_promocion,tarjeta débito,Ruta_12,CON002,entregado,Pasco,Paucartambo,"(-10.740994, -76.352797)",72.8,8.8,1.6,2046.94,0.448,98.45,109.9
PED000056,ENT-00000056,2024-08-05,Lunes,2024-08-07,Miércoles,PN_560551,Persona Natural,Atilio Jesús Solano Ibañez,P002,Inca Kola 500ml,vidrio,5,2.77,0.0,13.86,combo familiar,tarjeta crédito,Ruta_12,CON002,entregado,Pasco,Paucartambo,"(-10.69448, -76.3574)",49.3,15.1,2.2,2525.14,0.259,92.46,75.8
PED000057,ENT-00000057,2024-08-05,Lunes,2024-08-07,Miércoles,PN_548173,Persona Natural,Jose Carlos Nogués Neira,P007,Inca Kola 2L,PET,1,9.28,0.0,9.28,promo verano,transferencia,Ruta_01,CON001,entregado,Oxapampa,Huancabamba,"(-10.720017, -76.141274)",67.3,10.3,0.1,2945.43,0.519,105.09,111.46
PED000058,ENT-00000058,2024-08-05,Lunes,2024-08-07,Miércoles,PN_548173,Persona Natural,Jose Carlos Nogués Neira,P009,Sprite 500ml,vidrio,5,2.7,0.15,11.49,promo verano,contraentrega,Ruta_01,CON001,entregado,Oxapampa,Huancabamba,"(-10.717462, -76.170905)",59.7,16.4,0.7,2551.31,0.28,140.32,110.49
PED000059,ENT-00000059,2024-08-05,Lunes,2024-08-07,Miércoles,PN_206255,Persona Natural,Patricio Dávila Morcillo,P010,Fanta 2L,PET,1,7.57,0.0,7.57,sin_promocion,tarjeta crédito,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.455472, -76.366395)",60.4,7.8,2.1,720.36,0.363,106.89,103.42
PED000060,ENT-00000060,2024-08-05,Lunes,2024-08-07,Miércoles,PN_883535,Persona Natural,Ofelia del Segovia,P001,Coca-Cola 500ml,PET,1,2.3,0.0,2.3,combo familiar,EFECTIVO,SIN_RUTA,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.473026, -76.36707)",95.0,6.7,1.5,2781.67,0.372,65.75,97.44
PED000061,SIN_ENTREGA,2024-08-05,Lunes,2024-08-07,Miércoles,PN_883535,Persona Natural,Ofelia del Segovia,P010,Fanta 2L,PET,1,8.1,0.0,8.1,descuento por volumen,efectivo,Ruta_05,CON005,cancelado,Daniel Alcides Carrión,Paucar,"(-10.46641, -76.365217)",77.6,4.9,0.2,1646.58,0.35,107.62,96.77
PED000062,ENT-00000062,2024-08-05,Lunes,2024-08-07,Miércoles,PN_883535,Persona Natural,Ofelia del Segovia,P007,Inca Kola 2L,PET,1,9.15,0.15,7.78,descuento temporada,contraentrega,Ruta_05,CON005,entregado,Daniel Alcides Carrión,Paucar,"(-10.473582, -76.389605)",93.7,6.2,5.3,3108.44,0.321,119.59,83.71
PED000063,ENT-00000063,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_762700,Restaurante,Restaurante La Cabaña Yanahuanca 1,P003,Sprite 2L,PET,20,9.79,0.0,195.77,sin_promocion,transferencia,Ruta_27,CON007,retrasado,Daniel Alcides Carrión,Yanahuanca,"(-10.489332, -76.384419)",76.8,12.9,0.9,2330.72,0.408,76.48,119.97
PED000064,ENT-00000064,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_762700,Restaurante,Restaurante La Cabaña Yanahuanca 1,P002,Inca Kola 500ml,vidrio,20,2.82,0.0,56.46,descuento temporada,contraentrega,Ruta_27,CON007,entregado,Daniel Alcides Carrión,Yanahuanca,"(-10.483497, -76.39516)",78.6,15.3,0.2,3324.35,0.356,43.58,84.8
PED000065,ENT-00000065,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_762700,Restaurante,Restaurante La Cabaña Yanahuanca 1,P006,Coca-Cola 2L,PET,20,9.95,0.0,199.01,2x1,Yape,Ruta_27,CON007,entregado,Daniel Alcides Carrión,Yanahuanca,"(-10.493344, -76.394121)",62.9,17.0,5.8,3302.21,0.353,115.96,89.69
PED000066,ENT-00000066,2024-08-05,Lunes,2024-08-08,Jueves,PJ_707431,Restaurante,Restaurante La Terraza San Pedro de Pillao,P010,Fanta 2L,PET,30,7.68,0.0,230.46,combo familiar,Plin,Ruta_27,CON007,retrasado,Daniel Alcides Carrión,San Pedro de Pillao,"(-10.684778, -76.323037)",45.4,12.4,3.4,2079.35,0.258,96.44,86.43
PED000067,ENT-00000067,2024-08-05,Lunes,2024-08-08,Jueves,PJ_707431,Restaurante,Restaurante La Terraza San Pedro de Pillao,P003,Sprite 2L,PET,20,9.74,0.1,175.29,sin_promocion,contraentrega,Ruta_27,CON007,entregado,Daniel Alcides Carrión,San Pedro de Pillao,"(-10.650589, -76.368331)",52.1,4.0,9.4,4547.23,0.398,65.14,83.51
PED000068,ENT-00000068,2024-08-05,Lunes,2024-08-08,Jueves,PJ_707431,Restaurante,Restaurante La Terraza San Pedro de Pillao,P005,Agua San Luis 500ml,PET,20,1.98,0.0,39.58,promo verano,transferencia,Ruta_27,CON007,entregado,Daniel Alcides Carrión,San Pedro de Pillao,"(-10.64942, -76.327859)",78.2,10.9,0.2,1872.63,0.413,142.72,144.45
PED000069,ENT-00000069,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_380599,Bodega,Bodega Don Pedro Vilcabamba,P002,Inca Kola 500ml,vidrio,40,2.81,0.0,112.5,envío gratis,contraentrega,Ruta_15,CON005,entregado,Daniel Alcides Carrión,Vilcabamba,"(-10.647406, -76.130089)",62.1,5.5,2.5,1491.44,0.34,67.25,108.33
PED000070,ENT-00000070,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_380599,Bodega,Bodega Don Pedro Vilcabamba,P010,Fanta 2L,PET,30,8.78,0.0,263.33,promo verano,tarjeta débito,Ruta_15,CON005,retrasado,Daniel Alcides Carrión,Vilcabamba,"(-10.643355, -76.116812)",75.4,12.1,3.2,3399.59,0.428,94.3,115.72
PED000071,ENT-00000071,2024-08-05,Lunes,2024-08-07,Miércoles,PJ_862331,Bar,Bar La Casona Goyllarisquizga 1,P008,Agua San Luis 1L,PET,40,2.78,0.0,111.18,combo familiar,transferencia,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.585041, -76.074352)",61.7,15.6,1.1,1626.79,0.319,95.67,103.51
PED000072,ENT-00000072,2024-08-05,Lunes,2024-08-08,Jueves,PJ_113865,Supermercado,Supermercados Peruanos Goyllarisquizga,P004,Fanta 500ml,vidrio,81,2.41,0.05,185.57,sin_promocion,contraentrega,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.579365, -76.074915)",89.9,14.0,1.5,2798.45,0.376,77.08,122.71
PED000073,ENT-00000073,2024-08-05,Lunes,2024-08-08,Jueves,PJ_113865,Supermercado,Supermercados Peruanos Goyllarisquizga,P007,Inca Kola 2L,PET,122,10.11,0.25,924.8,regalo,contraentrega,Ruta_09,CON009,entregado,Daniel Alcides Carrión,Goyllarisquizga,"(-10.575162, -76.071475)",81.4,12.0,1.2,3205.6,0.266,109.96,75.17
